,package_name,editor,eic,date_opened,date_closed,labels,issue_num,description,categories,status,last_comment_date,last_comment_user
15,property-utils,,,2024-05-24 10:00:23+00:00,2024-05-28 19:20:05+00:00,['presubmission'],188,Utilities for programming that involves physical properties,['workflow-automation'],presubmission,2024-05-28T19:20:05Z,Batalex
16,Great Tables,,,2024-05-23 20:25:47+00:00,2024-06-22 07:36:11+00:00,['presubmission'],184,Make awesome display tables using Python.,['data-visualization'],presubmission,2024-06-22T07:36:11Z,Batalex
17,pooltool,,,2024-04-01 21:53:52+00:00,2024-04-20 12:03:09+00:00,['presubmission'],171,Pooltool is a general purpose billiards simulator crafted specifically for science and engineering.,"['data-processing-munging', 'data-visualization']",presubmission,2024-04-20T12:03:09Z,Batalex
18,AMS,,,2024-03-17 16:28:40+00:00,2024-04-24 17:40:15+00:00,['presubmission'],169,Power system dispatch modeling and dispatch-dynamic co-simulation.,[],presubmission,2024-04-24T17:40:15Z,Batalex
19,QuadratiK,,,2024-03-13 19:17:55+00:00,2024-05-13 20:48:12+00:00,['presubmission'],168,"QuadratiK includes test for multivariate normality, test for uniformity on the sphere, non-parametric two- and k-sample tests, random generation of points from the Poisson kernel-based density and clustering algorithm for spherical data.",[],presubmission,2024-05-13T20:48:12Z,rmj3197
20,CyNetDiff,,,2024-03-10 10:15:26+00:00,2024-04-24 17:41:04+00:00,['presubmission'],165,"A performance-focused library implementing algorithms for simulating network diffusion processes, written in Cython.",['data-processing-munging'],presubmission,2024-04-24T17:41:04Z,Batalex
21,xnemogcm,,,2024-01-04 15:21:56+00:00,2024-01-06 10:32:21+00:00,['presubmission'],154,Interface to open NEMO global circulation model output dataset with xarray and create a xgcm grid.,['data-processing-munging'],presubmission,2024-01-06T10:32:22Z,rcaneill
22,WasteAndMaterialFootprint,,,2023-12-30 17:23:18+00:00,2024-07-02 18:54:06+00:00,"['presubmission', '⌛ pending-maintainer-response', 'on-hold']",151,A program for Life Cycle Assessment (LCA) calculations of supply chain waste and material footprints.,[],presubmission,2024-07-09T05:51:58Z,Stew-McD
23,SLEPLET,,,2023-11-08 14:48:41+00:00,2023-11-15 15:07:57+00:00,"['presubmission', 'Submission Requested']",148,Slepian Scale-Discretised Wavelets in Python,"['data-processing-munging', 'data-visualization']",presubmission,2023-11-15T15:07:57Z,NickleDave
24,Fast Dash,,,2023-10-20 09:13:39+00:00,2023-10-31 14:20:47+00:00,['presubmission'],145,**Turn Python functions into interactive web applications with minimal code changes.**,"['data-visualization', 'workflow-automation']",presubmission,2023-10-31T14:24:04Z,NickleDave
25,rdata,,,2023-10-19 11:52:43+00:00,2023-10-20 15:17:15+00:00,['presubmission'],143,Read R datasets from Python.,['data-processing-munging'],presubmission,2023-10-20T15:17:15Z,NickleDave
26,ncompare,,,2023-10-13 14:52:42+00:00,2023-10-19 14:31:01+00:00,['presubmission'],142,Compare the structure of two netCDF files at the command line,['data-validation-testing'],presubmission,2023-10-19T14:31:01Z,NickleDave
27,PixAnalyzer,,,2023-10-11 14:17:34+00:00,2023-10-27 12:06:09+00:00,['presubmission'],141,PixAnalyzer is a tool for quantifying the motion of objects by calculating pixel changes which cannot be quantified by tracking or object recognition.,"['data-extraction', 'data-visualization', 'scientific-software-wrapper']",presubmission,2023-10-27T12:06:06Z,NickleDave
28,cc_pathplanner,,,2023-10-09 12:01:51+00:00,2023-10-25 17:11:11+00:00,['presubmission'],140,This repository contains a program which generates a guidance trajectory for complete 2D coverage. It can be used for operations where complete coverage of an Area of Interest (AoI) is required.,[],presubmission,2023-10-25T17:11:11Z,NickleDave
29,EOmaps,,,2023-09-21 18:03:49+00:00,2023-09-26 12:59:57+00:00,"['presubmission', 'Submission Requested']",137,https://eomaps.readthedocs.io/en/latest/,['data-visualization'],presubmission,2023-09-26T15:53:40Z,raphaelquast
30,pywikipathways,,,2023-09-13 07:18:05+00:00,2023-09-28 15:33:59+00:00,"['presubmission', 'Submission Requested']",136,Python Client Package for WikiPathways,['data-retrieval'],presubmission,2023-09-28T15:33:59Z,NickleDave
31,automata,,,2023-09-11 00:22:02+00:00,2023-09-18 19:00:28+00:00,"['presubmission', 'Submission Requested']",135,"A Python library for simulating finite automata, pushdown automata, and Turing machines","['data-processing-munging', 'data-visualization']",presubmission,2024-01-09T16:17:37Z,lwasser
32,THzTools,,,2023-09-08 05:48:33+00:00,2023-09-12 02:20:18+00:00,"['presubmission', 'Submission Requested']",134,Data analysis tools for terahertz time-domain spectroscopy.,"['data-processing-munging', 'data-visualization']",presubmission,2023-09-12T01:23:03Z,NickleDave
33,harmonize-wq,,,2023-09-01 18:03:57+00:00,2023-09-13 20:42:51+00:00,"['presubmission', 'Submission Requested']",132,"Standardize, clean and wrangle Water Quality Portal data into more analytic-ready formats",['data-processing-munging'],presubmission,2023-09-13T20:42:52Z,NickleDave
34,HaploDynamics,,,2023-08-29 06:14:36+00:00,2023-09-13 20:41:10+00:00,"['presubmission', '⌛ pending-maintainer-response', 'Submission Requested']",131,A python library to develop genomic data simulators,[],presubmission,2023-09-13T20:41:10Z,NickleDave
35,GemGIS,,,2023-08-07 10:14:01+00:00,2023-08-08 16:38:17+00:00,['presubmission'],126,**GemGIS - Spatial Data Processing for Geomodeling**,"['data-extraction', 'data-processing-munging', 'data-visualization', 'workflow-automation']",presubmission,2023-08-08T16:38:17Z,NickleDave
36,sciform,,,2023-06-07 06:19:44+00:00,2023-09-13 20:37:15+00:00,"['presubmission', 'Submission Requested']",114,Provides extended functionality for formatting floats into strings according to scientific standards,['data-visualization'],presubmission,2023-09-13T20:37:15Z,NickleDave
37,cardsort,,,2023-04-18 09:21:55+00:00,2023-04-21 13:48:39+00:00,['presubmission'],101,A python package to analyse data from open card sorting tasks,['data-visualization'],presubmission,2023-04-21T13:48:39Z,NickleDave
38,plenoptic,,,2023-04-12 19:17:36+00:00,2023-04-19 17:40:25+00:00,['presubmission'],97,a python library for model-based image synthesis.,['data-visualization'],presubmission,2023-04-19T17:40:25Z,billbrod
39,afscgap,,,2023-03-17 21:09:19+00:00,2023-03-25 15:11:26+00:00,['presubmission'],91,Community contributed Python-based tools for working with public bottom trawl surveys data from the NOAA Alaska Fisheries Science Center Groundfish Assessment Program ([NOAA AFSC GAP](https://www.fisheries.noaa.gov/contact/groundfish-assessment-program)).,"['data-retrieval', 'data-processing-munging', 'data-visualization']",presubmission,2023-03-25T15:11:26Z,NickleDave
40,bibat,,,2023-02-21 15:38:59+00:00,2023-03-01 15:51:53+00:00,['presubmission'],82,a batteries-included template for Bayesian data analysis projects,"['reproducibility', 'unsure/other (explain-below)']",presubmission,2023-03-01T15:51:53Z,NickleDave
41,Hamilton (sf-hamilton on pypi),,,2023-01-25 06:36:00+00:00,2023-02-02 23:18:16+00:00,['presubmission'],74,A general purpose micro-framework for defining dataflows.,"['data-retrieval', 'data-extraction', 'data-munging']",presubmission,2023-02-02T23:18:16Z,NickleDave
42,"__Pynteny: a Python package to perform synteny-aware, profile HMM-based searches in sequence databases__",,,2022-12-05 11:58:14+00:00,2023-01-03 17:57:22+00:00,['presubmission'],65,Query sequence database by HMMs arranged in predefined synteny structure,"['data-extraction', 'education']",presubmission,2023-01-03T17:57:22Z,NickleDave
43,cookiecutter-cmdstanpy-analysis,,,2022-09-26 09:55:04+00:00,2022-09-27 16:31:04+00:00,['presubmission'],62,An interactive template for cmdstanpy analyses,['reproducibility'],presubmission,2022-09-27T20:40:17Z,teddygroves
44,tdda,,,2022-09-14 16:49:04+00:00,2022-11-29 16:21:18+00:00,['presubmission'],58,Test-Driven Data Analysis,['reproducibility'],presubmission,2022-11-29T20:47:04Z,NickleDave
45,genomepy,,,2022-09-02 07:15:42+00:00,2022-09-29 05:51:45+00:00,['presubmission'],56,simple and straightforward downloading and management of genomic data.,"['data-retrieval', 'data-extraction', 'data-munging', 'reproducibility']",presubmission,2022-09-29T14:12:13Z,lwasser
46,dianna,,,2021-11-24 16:51:10+00:00,2022-01-03 15:55:34+00:00,"['presubmission', 'currently-out-of-scope']",48,an eXplainable AI (XAI) python library targeted at scientists,"['data-visualization', 'unsure/other (explain-below)']",presubmission,2022-01-03T15:55:34Z,NickleDave
47,sevivi,,,2021-11-18 15:57:33+00:00,2021-12-27 14:01:19+00:00,['presubmission'],47,sevivi is a python package and command line tool to generate videos of sensor data graphs synchronized to a video of the sensor movement.,['data-visualization'],presubmission,2021-12-27T14:01:19Z,NickleDave
48,qutip,,,2021-09-01 15:13:17+00:00,2021-12-16 21:32:26+00:00,"['presubmission', 'currently-out-of-scope']",46,Simulation of open quantum systems.,['unsure/other (explain-below)'],presubmission,2021-12-17T18:08:51Z,lwasser
49,CR-Sparse,,,2021-07-07 05:15:53+00:00,2021-07-07 13:50:10+00:00,['presubmission'],42,XLA accelerated algorithms for inverse problems in sparse representations and compressive sensing,"['data-munging', 'unsure/other (explain-below)']",presubmission,2021-07-07T21:45:11Z,lwasser
50,inteq,,,2021-06-19 22:04:31+00:00,2021-09-01 18:33:05+00:00,"['presubmission', 'currently-out-of-scope']",40,Solve Fredholm and Volterra integral equations in python.,['unsure/other (explain-below)'],presubmission,2021-09-01T18:33:05Z,lwasser
51,PyMedPhys,,,2021-05-06 07:54:58+00:00,2021-07-07 21:49:09+00:00,['presubmission'],39,A python library providing tools for Medical Physicists.,['unsure/other (explain-below)'],presubmission,2021-07-07T23:08:01Z,SimonBiggs
52,pyDataverse,,,2021-03-24 23:21:24+00:00,2022-09-01 16:40:09+00:00,"['presubmission', '⌛ pending-maintainer-response']",36,An Open Source Python module to work with Dataverse,"['data-retrieval', 'data-munging', 'data-deposition']",presubmission,2022-09-01T16:40:09Z,lwasser
53,OpenOmics,,,2020-12-11 06:39:51+00:00,2021-02-02 19:22:41+00:00,['presubmission'],30,"Library for integration of multi-omics, annotation, and interaction data.","['data-retrieval', 'data-extraction', 'data-munging', 'reproducibility']",presubmission,2021-02-02T19:22:41Z,NickleDave
54,Earth Engine Environment (Conda environment),,,2020-11-02 01:43:58+00:00,2021-01-16 18:18:49+00:00,['presubmission'],28,Conda environment to use the Google Earth Engine Python API within Jupyter environments,"['reproducibility', 'education']",presubmission,2021-01-16T18:18:49Z,NickleDave
55,Phenopype,,,2020-03-26 16:57:45+00:00,2020-05-04 16:52:40+00:00,"['presubmission', 'Submission Requested']",23,a phenotyping pipeline for Python,"['data-extraction', 'reproducibility']",presubmission,2020-05-04T16:52:30Z,mluerig
56,pystiche,,,2020-03-10 13:12:08+00:00,2020-07-02 13:01:39+00:00,['presubmission'],21,Framework for Neural Style Transfer,"['reproducibility', 'unsure/other (explain-below)']",presubmission,2020-07-02T13:01:39Z,pmeier
57,pyrolite,,,2019-12-17 02:43:47+00:00,2020-02-28 17:23:15+00:00,"['presubmission', 'Submission Requested']",17,A set of tools for getting the most from your geochemical data.,"['data-munging', 'data-visualization', 'reproducibility', 'unsure/other (explain-below)']",presubmission,2020-02-28T17:23:15Z,lwasser
58,mf2,,,2019-11-23 20:57:14+00:00,2019-12-09 11:01:21+00:00,['presubmission'],15,A collection of multi-fidelity analytical benchmark functions,"['reproducibility', 'unsure/other (explain-below)']",presubmission,2019-12-10T23:53:33Z,lwasser
59,movingpandas,,,2019-11-09 15:58:05+00:00,2019-11-14 22:18:30+00:00,['presubmission'],14,Implementation of Trajectory classes and functions built on top of GeoPandas,"['data-visualization', 'geospatial']",presubmission,2019-11-14T22:18:30Z,anitagraser
60,pyBHL,,,2019-08-19 18:35:12+00:00,2021-05-27 01:41:39+00:00,['presubmission'],13,Python wrapper for Biodiversity Heritage Library (BHL) API,['data-retrieval'],presubmission,2021-05-27T14:15:23Z,MikeTrizna
